Card ID,Card Name,Set ID,Set Name,Rarity,Color,Type,Cost,Power,Life,Counter,Attribute,Sub Types,Card Text,Is Parallel,Image URL,Picture URL,Market Price,Inventory Price,Last Priced,Owned
OP01-047,Trafalgar Law (047),OP-01,Romance Dawn,SR,Green,Character,5,6000,,0,Slash,Heart Pirates Supernovas,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] You may return 1 Character to your hand: Play up to 1 Character card with a cost of 3 or less from your hand.  This card has been officially errata'd.",No,https://optcgapi.com/media/static/Card_Images/OP01-047.jpg,,0.52,0.48,2026-09-07,
OP01-051,"Eustass""Captain""Kid",OP-01,Romance Dawn,SR,Green,Character,8,8000,,0,Special,Kid Pirates Supernovas,"[DON!! x1] [Opponent's Turn] If this Character is rested, your opponent cannot attack any card other than the Character [Eustass""Captain""Kid]. [Activate:Main] [Once Per Turn] You may rest this Character: Play up to 1 Character card with a cost of 3 or less from your hand.  This card has been officially errata'd.",No,https://optcgapi.com/media/static/Card_Images/OP01-051.jpg,,0.52,0.51,2026-09-07,
OP01-025,Roronoa Zoro (025),OP-01,Romance Dawn,SR,Red,Character,3,5000,,0,Slash,Straw Hat Crew Supernovas,[Rush] (This card can attack on the turn in which it is played.),No,https://optcgapi.com/media/static/Card_Images/OP01-025.jpg,,3.36,2.99,2026-09-07,
OP01-094,Kaido (094),OP-01,Romance Dawn,SR,Purple,Character,10,12000,,0,Strike,Animal Kingdom Pirates The Four Emperors,"[On Play] DON!! -6 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the ""Animal Kingdom Pirates"" type, K.O. all Characters other than this Character.",No,https://optcgapi.com/media/static/Card_Images/OP01-094.jpg,,1.95,1.51,2026-09-07,
OP01-078,Boa Hancock,OP-01,Romance Dawn,SR,Blue,Character,4,5000,,1000,Special,Kuja Pirates The Seven Warlords of the Sea,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x1] [When Attacking]/[On Block] Draw 1 card if you have 5 or less cards in your hand.",No,https://optcgapi.com/media/static/Card_Images/OP01-078.jpg,,1.39,1.40,2026-09-07,
OP01-070,Dracule Mihawk,OP-01,Romance Dawn,SR,Blue,Character,9,9000,,0,Slash,The Seven Warlords of the Sea,[On Play] Place up to 1 Character with a cost of 7 or less at the bottom of the owner's deck.  This card has been officially errata'd.,No,https://optcgapi.com/media/static/Card_Images/OP01-070.jpg,,1.19,0.85,2026-09-07,
OP01-024,Monkey.D.Luffy (024),OP-01,Romance Dawn,SR,Red,Character,2,3000,,1000,Strike,Straw Hat Crew Supernovas,"[DON!! x2] This Character cannot be K.O.'d in battle by ""Strike"" attribute Characters. [Activate:Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.",No,https://optcgapi.com/media/static/Card_Images/OP01-024.jpg,,2.18,1.75,2026-09-07,
OP01-096,King (096),OP-01,Romance Dawn,SR,Purple,Character,7,7000,,0,Special,Animal Kingdom Pirates,[On Play] DON!! -2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 3 or less and up to 1 of your opponent's Characters with a cost of 2 or less.  This card has been officially errata'd.,No,https://optcgapi.com/media/static/Card_Images/OP01-096.jpg,,0.62,0.67,2026-09-07,
OP01-121,Yamato,OP-01,Romance Dawn,SEC,Green,Character,5,5000,,1000,Strike,Land of Wano,"Also treat this card's name as [Kouzuki Oden] according to the rules. [Double Attack] (This card deals 2 damage.) [Banish] (When this card deals damage, the target card is trashed without activating its Trigger.)",No,https://optcgapi.com/media/static/Card_Images/OP01-121.jpg,,5.90,3.48,2026-09-07,
OP01-067,Crocodile (067),OP-01,Romance Dawn,SR,Blue,Character,7,7000,,1000,Special,Baroque Works The Seven Warlords of the Sea,"[Banish] (When this card deals damage, the target card is trashed without activating its Trigger.) [DON!! x1] Give blue Events in your hand -1 cost.",No,https://optcgapi.com/media/static/Card_Images/OP01-067.jpg,,0.53,0.48,2026-09-07,
